"","X","Home","Away","Result","Played_Home","Won_Home","Draw_Home","Lost_Home","Goals_For_Home","Goals_Against_Home","Point_Home","Played_Away","Won_Away","Draw_Away","Lost_Away","Goals_For_Away","Goals_Against_Away","Point_Away","Year"
"1",1,"Argentina","Uruguay",1,3,2,1,0,6,2,5,3,0,2,1,2,7,2,1986
"2",2,"Argentina","England",1,3,2,1,0,6,2,5,3,1,1,1,3,1,3,1986
"3",3,"Argentina","Belgium",1,3,2,1,0,6,2,5,3,1,1,1,5,5,3,1986
"4",4,"Spain","Belgium",0,3,2,0,1,5,2,4,3,1,1,1,5,5,3,1986
"5",5,"France","Belgium",1,3,2,1,0,5,1,5,3,1,1,1,5,5,3,1986
"6",6,"Soviet Union","Belgium",0,3,2,1,0,9,1,5,3,1,1,1,5,5,3,1986
"7",7,"France","Germany FR",0,3,2,1,0,5,1,5,3,1,1,1,3,4,3,1986
"8",8,"Argentina","Germany FR",1,3,2,1,0,6,2,5,3,1,1,1,3,4,3,1986
"9",9,"Morocco","Germany FR",0,3,1,2,0,3,1,4,3,1,1,1,3,4,3,1986
"10",10,"Brazil","France",0,3,3,0,0,5,0,6,3,2,1,0,5,1,5,1986
"11",11,"Italy","France",0,3,1,2,0,5,4,4,3,2,1,0,5,1,5,1986
"12",12,"Brazil","Poland",1,3,3,0,0,5,0,6,3,1,1,1,1,3,3,1986
"13",13,"Denmark","Spain",0,3,3,0,0,9,1,6,3,2,0,1,5,2,4,1986
"14",14,"England","Paraguay",1,3,1,1,1,3,1,3,3,1,2,0,4,3,4,1986
"15",15,"Germany FR","Mexico",1,3,1,1,1,3,4,3,3,2,1,0,4,2,5,1986
"16",16,"Mexico","Bulgaria",1,3,2,1,0,4,2,5,3,0,2,1,2,4,2,1986
"17",1,"Brazil","Argentina",0,3,3,0,0,4,1,6,3,1,1,1,3,2,3,1990
"18",2,"Italy","Argentina",0,3,3,0,0,4,0,6,3,1,1,1,3,2,3,1990
"19",3,"Yugoslavia","Argentina",0,3,2,0,1,6,5,4,3,1,1,1,3,2,3,1990
"20",4,"Germany FR","Argentina",1,3,2,1,0,10,3,5,3,1,1,1,3,2,3,1990
"21",5,"Cameroon","Colombia",1,3,2,0,1,3,5,4,3,1,1,1,3,2,3,1990
"22",6,"Czechoslovakia","Costa Rica",1,3,2,0,1,6,3,4,3,2,0,1,3,2,4,1990
"23",7,"England","Belgium",1,3,1,2,0,2,1,4,3,2,0,1,6,3,4,1990
"24",8,"England","Cameroon",1,3,1,2,0,2,1,4,3,2,0,1,3,5,4,1990
"25",9,"Germany FR","Netherlands",1,3,2,1,0,10,3,5,3,0,3,0,2,2,3,1990
"26",10,"Germany FR","England",1,3,2,1,0,10,3,5,3,1,2,0,2,1,4,1990
"27",11,"Italy","England",1,3,3,0,0,4,0,6,3,1,2,0,2,1,4,1990
"28",12,"Germany FR","Czechoslovakia",1,3,2,1,0,10,3,5,3,2,0,1,6,3,4,1990
"29",13,"Italy","Uruguay",1,3,3,0,0,4,0,6,3,1,1,1,2,3,3,1990
"30",14,"Italy","Republic of Ireland",1,3,3,0,0,4,0,6,3,0,3,0,2,2,3,1990
"31",15,"Republic of Ireland","Romania",1,3,0,3,0,2,2,3,3,1,1,1,4,3,3,1990
"32",16,"Spain","Yugoslavia",0,3,2,1,0,5,2,5,3,2,0,1,6,5,4,1990
"33",1,"Brazil","USA",1,3,2,1,0,6,1,7,3,1,1,1,3,3,4,1994
"34",2,"Brazil","Italy",1,3,2,1,0,6,1,7,3,1,1,1,2,2,4,1994
"35",3,"Bulgaria","Italy",0,3,2,0,1,6,3,6,3,1,1,1,2,2,4,1994
"36",4,"Nigeria","Italy",0,3,2,0,1,6,2,6,3,1,1,1,2,2,4,1994
"37",5,"Bulgaria","Germany",1,3,2,0,1,6,3,6,3,2,1,0,5,3,7,1994
"38",6,"Germany","Belgium",1,3,2,1,0,5,3,7,3,2,0,1,2,1,6,1994
"39",7,"Italy","Spain",1,3,1,1,1,2,2,4,3,1,2,0,6,4,5,1994
"40",8,"Mexico","Bulgaria",0,3,1,1,1,3,3,4,3,2,0,1,6,3,6,1994
"41",9,"Sweden","Bulgaria",1,3,1,2,0,6,4,5,3,2,0,1,6,3,6,1994
"42",10,"Netherlands","Republic of Ireland",1,3,2,0,1,4,3,6,3,1,1,1,2,2,4,1994
"43",11,"Netherlands","Brazil",0,3,2,0,1,4,3,6,3,2,1,0,6,1,7,1994
"44",12,"Sweden","Brazil",0,3,1,2,0,6,4,5,3,2,1,0,6,1,7,1994
"45",13,"Romania","Argentina",1,3,2,0,1,5,5,6,3,2,0,1,6,3,6,1994
"46",14,"Saudi Arabia","Sweden",0,3,2,0,1,4,3,6,3,1,2,0,6,4,5,1994
"47",15,"Romania","Sweden",0,3,2,0,1,5,5,6,3,1,2,0,6,4,5,1994
"48",16,"Spain","Switzerland",1,3,1,2,0,6,4,5,3,1,1,1,5,4,4,1994
"49",1,"Argentina","England",1,3,3,0,0,7,0,9,3,2,0,1,5,2,6,1998
"50",2,"Brazil","Chile",1,3,2,0,1,6,3,6,3,0,3,0,4,4,3,1998
"51",3,"Brazil","Denmark",1,3,2,0,1,6,3,6,3,1,1,1,3,3,4,1998
"52",4,"Nigeria","Denmark",0,3,2,0,1,5,5,6,3,1,1,1,3,3,4,1998
"53",5,"Brazil","France",0,3,2,0,1,6,3,6,3,3,0,0,9,1,9,1998
"54",6,"Italy","France",0,3,2,1,0,7,3,7,3,3,0,0,9,1,9,1998
"55",7,"Brazil","Netherlands",1,3,2,0,1,6,3,6,3,1,2,0,7,2,5,1998
"56",8,"France","Paraguay",1,3,3,0,0,9,1,9,3,1,2,0,3,1,5,1998
"57",9,"Germany","Croatia",0,3,2,1,0,6,2,7,3,2,0,1,4,2,6,1998
"58",10,"Netherlands","Croatia",0,3,1,2,0,7,2,5,3,2,0,1,4,2,6,1998
"59",11,"France","Croatia",1,3,3,0,0,9,1,9,3,2,0,1,4,2,6,1998
"60",12,"Romania","Croatia",0,3,2,1,0,4,2,7,3,2,0,1,4,2,6,1998
"61",13,"Germany","Mexico",1,3,2,1,0,6,2,7,3,1,2,0,7,5,5,1998
"62",14,"Italy","Norway",1,3,2,1,0,7,3,7,3,1,2,0,5,4,5,1998
"63",15,"Netherlands","Argentina",1,3,1,2,0,7,2,5,3,3,0,0,7,0,9,1998
"64",16,"Netherlands","Yugoslavia",1,3,1,2,0,7,2,5,3,2,1,0,4,2,7,1998
"65",1,"Brazil","Belgium",1,3,3,0,0,11,3,9,3,1,2,0,6,5,5,2002
"66",2,"Brazil","Turkey",1,3,3,0,0,11,3,9,3,1,1,1,5,3,4,2002
"67",3,"Korea Republic","Turkey",0,3,2,1,0,4,1,7,3,1,1,1,5,3,4,2002
"68",4,"Japan","Turkey",0,3,2,1,0,5,2,7,3,1,1,1,5,3,4,2002
"69",5,"Senegal","Turkey",0,3,1,2,0,5,4,5,3,1,1,1,5,3,4,2002
"70",6,"Denmark","England",0,3,2,1,0,5,2,7,3,1,2,0,2,1,5,2002
"71",7,"England","Brazil",0,3,1,2,0,2,1,5,3,3,0,0,11,3,9,2002
"72",8,"Germany","Brazil",0,3,2,1,0,11,1,7,3,3,0,0,11,3,9,2002
"73",9,"Germany","Paraguay",1,3,2,1,0,11,1,7,3,1,1,1,6,6,4,2002
"74",10,"Germany","USA",1,3,2,1,0,11,1,7,3,1,1,1,5,6,4,2002
"75",11,"Mexico","USA",0,3,2,1,0,4,2,7,3,1,1,1,5,6,4,2002
"76",12,"Spain","Korea Republic",0,3,3,0,0,9,4,9,3,2,1,0,4,1,7,2002
"77",13,"Germany","Korea Republic",1,3,2,1,0,11,1,7,3,2,1,0,4,1,7,2002
"78",14,"Korea Republic","Italy",1,3,2,1,0,4,1,7,3,1,1,1,4,3,4,2002
"79",15,"Spain","Republic of Ireland",1,3,3,0,0,9,4,9,3,1,2,0,5,2,5,2002
"80",16,"Sweden","Senegal",0,3,1,2,0,4,3,5,3,1,2,0,5,4,5,2002
"81",1,"Argentina","Mexico",1,3,2,1,0,8,1,7,3,1,1,1,4,3,4,2006
"82",2,"Brazil","France",0,3,3,0,0,7,1,9,3,1,2,0,3,1,5,2006
"83",3,"Spain","France",0,3,3,0,0,8,1,9,3,1,2,0,3,1,5,2006
"84",4,"Italy","France",1,3,2,1,0,5,1,7,3,1,2,0,3,1,5,2006
"85",5,"Portugal","France",0,3,3,0,0,5,1,9,3,1,2,0,3,1,5,2006
"86",6,"Brazil","Ghana",1,3,3,0,0,7,1,9,3,2,0,1,4,3,6,2006
"87",7,"England","Ecuador",1,3,2,1,0,5,2,7,3,2,0,1,5,3,6,2006
"88",8,"England","Portugal",0,3,2,1,0,5,2,7,3,3,0,0,5,1,9,2006
"89",9,"Germany","Portugal",1,3,3,0,0,8,2,9,3,3,0,0,5,1,9,2006
"90",10,"Germany","Sweden",1,3,3,0,0,8,2,9,3,1,2,0,3,2,5,2006
"91",11,"Germany","Argentina",1,3,3,0,0,8,2,9,3,2,1,0,8,1,7,2006
"92",12,"Germany","Italy",0,3,3,0,0,8,2,9,3,2,1,0,5,1,7,2006
"93",13,"Switzerland","Ukraine",0,3,2,1,0,4,0,7,3,2,0,1,5,4,6,2006
"94",14,"Italy","Ukraine",1,3,2,1,0,5,1,7,3,2,0,1,5,4,6,2006
"95",15,"Italy","Australia",1,3,2,1,0,5,1,7,3,1,1,1,5,5,4,2006
"96",16,"Portugal","Netherlands",1,3,3,0,0,5,1,9,3,2,1,0,3,1,7,2006
