"","Home","Away","Result","Played_Home","Won_Home","Draw_Home","Lost_Home","Goals_For_Home","Goals_Against_Home","Point_Home","Played_Away","Won_Away","Draw_Away","Lost_Away","Goals_For_Away","Goals_Against_Away","Point_Away","Year"
"1","Brazil","USA",1,"3","2","1","0","6","1","7","3","1","1","1","3","3","4","1994"
"2","Brazil","Italy",1,"3","2","1","0","6","1","7","3","1","1","1","2","2","4","1994"
"3","Bulgaria","Italy",0,"3","2","0","1","6","3","6","3","1","1","1","2","2","4","1994"
"4","Nigeria","Italy",0,"3","2","0","1","6","2","6","3","1","1","1","2","2","4","1994"
"5","Bulgaria","Germany",1,"3","2","0","1","6","3","6","3","2","1","0","5","3","7","1994"
"6","Germany","Belgium",1,"3","2","1","0","5","3","7","3","2","0","1","2","1","6","1994"
"7","Italy","Spain",1,"3","1","1","1","2","2","4","3","1","2","0","6","4","5","1994"
"8","Mexico","Bulgaria",0,"3","1","1","1","3","3","4","3","2","0","1","6","3","6","1994"
"9","Sweden","Bulgaria",1,"3","1","2","0","6","4","5","3","2","0","1","6","3","6","1994"
"10","Netherlands","Republic of Ireland",1,"3","2","0","1","4","3","6","3","1","1","1","2","2","4","1994"
"11","Netherlands","Brazil",0,"3","2","0","1","4","3","6","3","2","1","0","6","1","7","1994"
"12","Sweden","Brazil",0,"3","1","2","0","6","4","5","3","2","1","0","6","1","7","1994"
"13","Romania","Argentina",1,"3","2","0","1","5","5","6","3","2","0","1","6","3","6","1994"
"14","Saudi Arabia","Sweden",0,"3","2","0","1","4","3","6","3","1","2","0","6","4","5","1994"
"15","Romania","Sweden",0,"3","2","0","1","5","5","6","3","1","2","0","6","4","5","1994"
"16","Spain","Switzerland",1,"3","1","2","0","6","4","5","3","1","1","1","5","4","4","1994"
